pH,EC,TDS,Na,K,Ca,Mg,Cl,HCO3,SO4,NO3,Larson_index,Larson_corrosive,source
5.08,246.3,177.3,13.7,5.86,41.3,9.49,27.329,70.15,9.881,1.597,1.0283724731195643,1,MHLATHUZE
6.22,1058.0,711.0,52.4,8.14,87.2,52.6,145.702,207.40000000000003,18.918,16.519,1.4408321168355651,1,MHLATHUZE
6.62,137.0,99.0,11.3,5.35,6.98,3.31,12.382,70.15000000000002,2.155,6.487,0.3818326994666303,0,MHLATHUZE
6.68,1412.0,957.0,43.3,6.25,82.3,44.8,226.381,216.5499999999999,135.851,3.2,3.393133180739727,1,MHLATHUZE
6.98,1254.0,863.0,47.2,5.0,102.0,107.0,129.445,341.5999999999998,68.583,2.57,1.162286458790915,1,MHLATHUZE
8.14,178.1,117.3,4.74,5.54,14.8,5.61,19.524,64.05000000000001,1.371,2.973,0.579007274835255,0,MHLATHUZE
8.61,3259.0,2033.0,173.0,6.01,94.9,78.8,618.142,365.99999999999994,89.987,20.674,3.5314141109018498,1,MHLATHUZE
6.49,2768.0,1844.0,172.0,7.93,98.3,91.4,676.789,213.5000000000005,54.165,0.0,6.100313327825519,1,MHLATHUZE
7.24,786.0,523.0,72.8,6.77,31.5,31.6,95.25,109.80000000000004,14.264,62.19,1.8230673297553504,1,MHLATHUZE
7.99,374.0,259.2,66.6,5.49,24.7,13.0,9.247,128.10000000000005,9.769,0.0,0.3179978481447436,0,MHLATHUZE
8.1,126.5,91.6,17.1,5.56,12.4,8.04,14.551,48.79999999999999,12.548,3.482,1.1664930223053411,1,MHLATHUZE
8.9,189.3,128.8,17.0,4.74,16.2,7.89,13.991,79.29999999999993,1.834,0.586,0.3624106200022632,0,MHLATHUZE
8.64,121.3,90.4,16.6,4.67,4.96,6.59,18.922,57.95000000000006,2.141,10.121,0.6558366937193174,0,MHLATHUZE
7.74,105.1,76.0,13.1,4.6,5.09,7.09,11.517,60.9999999999999,2.168,1.195,0.41524386280173475,0,MHLATHUZE
7.67,776.0,543.0,68.4,4.16,94.1,44.6,91.24,189.10000000000002,18.299,1.826,1.0762738097028746,1,MHLATHUZE
8.1,141.1,95.0,16.5,4.18,10.3,6.19,19.213,61.000000000000036,1.633,20.022,0.6100958980754795,0,MHLATHUZE
9.42,90.2,63.0,10.9,3.14,5.13,4.23,10.746,48.79999999999999,3.495,15.408,0.5609539011955554,0,MHLATHUZE
9.22,77.1,54.9,9.85,3.19,3.85,3.49,28.906,54.90000000000002,1.025,26.91,0.9536121544664858,0,MHLATHUZE
8.85,76.8,53.1,10.4,3.07,2.41,2.83,11.576,45.74999999999999,0.841,8.993,0.48218152922639984,0,MHLATHUZE
8.55,321.0,227.6,32.6,2.88,56.2,15.4,38.883,155.54999999999998,15.169,1.905,0.6779885142028126,0,MHLATHUZE
6.91,124.1,91.2,13.7,2.67,11.9,8.94,20.154,57.95000000000001,4.046,15.211,0.7759494009521577,0,MHLATHUZE
7.37,229.4,163.2,24.8,2.4,27.3,13.1,11.168,88.44999999999996,1.587,9.711,0.26289466013523366,0,MHLATHUZE
8.13,112.8,79.7,9.69,2.09,13.3,7.86,24.233,70.15000000000002,3.195,3.921,0.7102533963081815,0,MHLATHUZE
8.55,129.7,92.4,18.4,1.15,2.43,4.56,16.589,70.15000000000013,0.982,6.487,0.44256218096141264,0,MHLATHUZE
7.47,383.0,270.7,32.1,0.642,43.7,34.9,56.988,128.1,4.238,27.425,0.8497086922865199,0,MHLATHUZE
7.78,182.1,129.5,19.7,0.9705,14.1,14.4,14.261,96.07500000000007,2.209,2.939,0.3138864514884045,0,MHLATHUZE
7.92,300.0,214.2,28.8,1.29,47.6,17.8,25.429,85.3999999999998,4.838,14.121,0.6564070831412335,0,MHLATHUZE
8.28,182.9,121.8,18.9,1.17,13.2,14.1,15.025,91.49999999999999,1.747,8.056,0.3311223191878999,0,MHLATHUZE
8.52,182.7,131.8,20.5,0.9885,16.7,12.6,13.928,103.69999999999973,2.363,5.584,0.2890531070549175,0,MHLATHUZE
