model,metric,mean,std
Dummy Classifier,accuracy,0.6099236641221374,0.0009349197491538728
Dummy Classifier,precision,0.0,0.0
Dummy Classifier,recall,0.0,0.0
Dummy Classifier,f1,0.0,0.0
Dummy Classifier,roc_auc,0.5,0.0
Dummy Classifier,pr_auc,0.3900763358778626,0.0009349197491538999
Dummy Classifier,mcc,0.0,0.0
Logistic Regression,accuracy,0.49465648854961836,0.01612115426102511
Logistic Regression,precision,0.37825576731483307,0.019196386797356687
Logistic Regression,recall,0.4619033955045433,0.04556972848803408
Logistic Regression,f1,0.4155251115260519,0.02833503214226123
Logistic Regression,roc_auc,0.476757681028486,0.01806893643804633
Logistic Regression,pr_auc,0.3983245860401592,0.025684715392577134
Logistic Regression,mcc,-0.02196587972024869,0.0378157675367621
Random Forest,accuracy,0.6740458015267176,0.010340623804690129
Random Forest,precision,0.6843891959716715,0.022833834021214763
Random Forest,recall,0.30625538020086085,0.040161739440677226
Random Forest,f1,0.4214539888245582,0.03846612653584476
Random Forest,roc_auc,0.6926620801906663,0.010204559084623737
Random Forest,pr_auc,0.6057612849383774,0.0110681125431278
Random Forest,mcc,0.2768659507299804,0.027078895529583955
SVM-RBF,accuracy,0.666793893129771,0.014663643291830952
SVM-RBF,precision,0.5733215062412113,0.01726113495748458
SVM-RBF,recall,0.5694261119081779,0.05231282716690006
SVM-RBF,f1,0.5703708657701149,0.02992482734280894
SVM-RBF,roc_auc,0.7036039737402723,0.02168971305545257
SVM-RBF,pr_auc,0.6088267724499359,0.015403883747936735
SVM-RBF,mcc,0.2992371554070281,0.0365279824986987
